date,heatindex_max,heatindex_min,heatindex_mea,heatwave_has,heatwaveduration_sum,heatwaveintensity_ind,coldwave_has,coldwaveduration_sum,coldwaveintensity_ind,spi_ind,elnino_ind
2023-02-26,31.92236907607114,20.2,25.678052583714177,0,0,0.0,0,0,0.0,1.4311284163253635,-0.43
2023-02-27,24.0,20.699999999999996,22.0,0,0,0.0,0,0,0.0,1.404057908941383,-0.43
2023-02-28,24.4,19.099999999999998,20.912499999999998,0,0,0.0,0,0,0.0,1.3769167235918969,-0.43
2023-03-01,30.19312730559121,18.000000000000004,21.572430395006677,0,0,0.0,0,0,0.0,0.7142118983788471,-0.15
2023-03-02,31.23271395498453,18.9,22.890259824043152,0,0,0.0,0,0,0.0,0.6285151032342038,-0.15
2023-03-03,29.801413173971206,20.500000000000004,23.66430794910057,0,0,0.0,0,0,0.0,0.5256113069299376,-0.15
2023-03-04,29.832920250797816,21.599999999999998,23.885209115932042,0,0,0.0,0,0,0.0,0.21779494206778488,-0.15
2023-03-05,29.870633020595456,19.300000000000004,23.45080234885769,0,0,0.0,0,0,0.0,0.13268611420384005,-0.15
2023-03-06,29.539999007555558,18.000000000000004,22.348852634385935,0,0,0.0,0,0,0.0,0.26500406448324776,-0.15
2023-03-07,29.686387139697796,18.6,22.586148898684822,0,0,0.0,0,0,0.0,0.20085660091531382,-0.15
2023-03-08,31.230579505395625,18.7,23.17225318430741,0,0,0.0,0,0,0.0,0.32190359840815014,-0.15
2023-03-09,31.223798344415663,19.300000000000004,22.72870052432936,0,0,0.0,0,0,0.0,0.060374343998834006,-0.15
2023-03-10,29.479255974071272,19.8,21.611635665586302,0,0,0.0,0,0,0.0,0.9532216316477536,-0.15
2023-03-11,26.1,19.099999999999998,20.958333333333332,0,0,0.0,0,0,0.0,1.029188118996279,-0.15
2023-03-12,24.700000000000003,19.8,20.904166666666665,0,0,0.0,0,0,0.0,1.6389528415556345,-0.15
2023-03-13,26.1,19.8,21.520833333333332,0,0,0.0,0,0,0.0,1.7278013311688967,-0.15
2023-03-14,28.824321293191044,20.2,21.963513387216295,0,0,0.0,0,0,0.0,1.1788471862553362,-0.15
2023-03-15,25.2,19.300000000000004,21.82083333333333,0,0,0.0,0,0,0.0,0.9745705220744474,-0.15
2023-03-16,28.292644831457842,19.300000000000004,22.016360201310743,0,0,0.0,0,0,0.0,0.907266011025673,-0.15
2023-03-17,25.500000000000004,18.000000000000004,21.045833333333334,0,0,0.0,0,0,0.0,0.6952555817964902,-0.15
